Bars, Displacements, Ultimate - Load case: DeadLoad
Bar	x	ex'	ey'	ez'	φ x'	φ y'	φ z'	Case
[-]	[m]	[m]	[m]	[m]	[°]	[°]	[°]	[-]
B.1.1	0.000	0.000	0.000	0.000	0.000	-0.003	0.000	DeadLoad
B.1.1	0.500	0.000	0.000	0.000	0.000	-0.003	0.000	DeadLoad
B.1.1	1.000	0.000	0.000	0.000	0.000	-0.002	0.000	DeadLoad
B.1.1	1.000	0.000	0.000	0.000	0.000	-0.002	0.000	DeadLoad
B.1.1	1.500	0.000	0.000	0.000	0.000	-0.002	0.000	DeadLoad
B.1.1	2.000	0.000	0.000	0.000	0.000	-0.001	0.000	DeadLoad
B.1.1	2.000	0.000	0.000	0.000	0.000	-0.001	0.000	DeadLoad
B.1.1	2.500	0.000	0.000	0.000	0.000	-0.000	0.000	DeadLoad
B.1.1	3.000	0.000	0.000	0.000	0.000	0.000	0.000	DeadLoad
B.1.1	3.000	0.000	0.000	0.000	0.000	0.000	0.000	DeadLoad
B.1.1	3.500	0.000	0.000	0.000	0.000	0.000	0.000	DeadLoad
B.1.1	4.000	-0.000	0.000	0.000	0.000	-0.000	0.000	DeadLoad
B.1.1	4.000	-0.000	0.000	0.000	0.000	-0.000	0.000	DeadLoad
B.1.1	4.500	-0.000	0.000	0.000	0.000	-0.000	0.000	DeadLoad
B.1.1	5.000	-0.000	0.000	0.000	0.000	-0.000	0.000	DeadLoad
B.1.1	5.000	-0.000	0.000	0.000	0.000	-0.000	0.000	DeadLoad
B.1.1	5.500	-0.000	0.000	0.000	0.000	0.000	0.000	DeadLoad
B.1.1	6.000	-0.000	0.000	0.000	0.000	0.001	0.000	DeadLoad
B.1.1	6.000	-0.000	0.000	0.000	0.000	0.001	0.000	DeadLoad
B.1.1	6.500	-0.000	0.000	0.000	0.000	0.002	0.000	DeadLoad
B.1.1	7.000	-0.000	0.000	0.000	0.000	0.002	0.000	DeadLoad
B.1.1	7.000	-0.000	0.000	0.000	0.000	0.002	0.000	DeadLoad
B.1.1	7.500	-0.000	0.000	0.000	0.000	0.003	0.000	DeadLoad
B.1.1	8.000	-0.000	0.000	0.000	0.000	0.003	0.000	DeadLoad
B.2.1	0.000	-0.000	0.000	0.000	0.000	-0.003	0.000	DeadLoad
B.2.1	0.500	-0.000	0.000	0.000	0.000	-0.003	0.000	DeadLoad
B.2.1	1.000	-0.000	0.000	0.000	0.000	-0.003	0.000	DeadLoad
B.2.1	1.000	-0.000	0.000	0.000	0.000	-0.003	0.000	DeadLoad
B.2.1	1.500	-0.000	0.000	0.000	0.000	-0.002	0.000	DeadLoad
B.2.1	2.000	-0.000	0.000	0.000	0.000	-0.001	0.000	DeadLoad
B.2.1	2.000	-0.000	0.000	0.000	0.000	-0.001	0.000	DeadLoad
B.2.1	2.500	-0.000	0.000	0.000	0.000	-0.001	0.000	DeadLoad
B.2.1	3.000	-0.000	0.000	0.000	0.000	-0.000	0.000	DeadLoad
B.2.1	3.000	-0.000	0.000	0.000	0.000	-0.000	0.000	DeadLoad
B.2.1	3.500	-0.000	0.000	0.000	0.000	-0.000	0.000	DeadLoad
B.2.1	4.000	-0.000	0.000	0.000	0.000	-0.000	0.000	DeadLoad
B.2.1	4.000	-0.000	0.000	0.000	0.000	-0.000	0.000	DeadLoad
B.2.1	4.500	-0.000	0.000	0.000	0.000	-0.001	0.000	DeadLoad
B.2.1	5.000	-0.000	0.000	0.000	0.000	-0.001	0.000	DeadLoad
B.2.1	5.000	-0.000	0.000	0.000	0.000	-0.001	0.000	DeadLoad
B.2.1	5.500	-0.000	0.000	0.000	0.000	-0.000	0.000	DeadLoad
B.2.1	6.000	-0.000	0.000	0.000	0.000	-0.000	0.000	DeadLoad
B.2.1	6.000	-0.000	0.000	0.000	0.000	-0.000	0.000	DeadLoad
B.2.1	6.500	0.000	0.000	0.000	0.000	0.000	0.000	DeadLoad
B.2.1	7.000	0.000	0.000	0.000	0.000	0.001	0.000	DeadLoad
B.2.1	7.000	0.000	0.000	0.000	0.000	0.001	0.000	DeadLoad
B.2.1	7.500	0.000	0.000	0.000	0.000	0.001	0.000	DeadLoad
B.2.1	8.000	0.000	0.000	0.000	0.000	0.000	0.000	DeadLoad
B.2.1	8.000	0.000	0.000	0.000	0.000	0.000	0.000	DeadLoad
B.2.1	8.500	0.000	0.000	0.000	0.000	0.000	0.000	DeadLoad
B.2.1	9.000	0.000	0.000	0.000	0.000	0.000	0.000	DeadLoad
B.2.1	9.000	0.000	0.000	0.000	0.000	0.000	0.000	DeadLoad
B.2.1	9.500	0.000	0.000	0.000	0.000	0.001	0.000	DeadLoad
B.2.1	10.000	0.000	0.000	0.000	0.000	0.001	0.000	DeadLoad
B.2.1	10.000	0.000	0.000	0.000	0.000	0.001	0.000	DeadLoad
B.2.1	10.500	0.000	0.000	0.000	0.000	0.002	0.000	DeadLoad
B.2.1	11.000	0.000	0.000	0.000	0.000	0.003	0.000	DeadLoad
B.2.1	11.000	0.000	0.000	0.000	0.000	0.003	0.000	DeadLoad
B.2.1	11.500	0.000	0.000	0.000	0.000	0.003	0.000	DeadLoad
B.2.1	12.000	0.000	0.000	0.000	0.000	0.003	0.000	DeadLoad
B.3.1	0.000	0.000	0.000	-0.000	-0.000	0.001	0.000	DeadLoad
B.3.1	0.280	0.000	0.000	-0.000	-0.000	0.001	0.000	DeadLoad
B.3.1	0.559	0.000	0.000	-0.000	-0.000	0.001	0.000	DeadLoad
B.3.1	0.839	0.000	0.000	-0.000	-0.000	0.001	0.000	DeadLoad
B.3.1	1.118	0.000	0.000	-0.000	-0.000	0.001	0.000	DeadLoad
B.3.1	1.118	0.000	0.000	-0.000	-0.000	0.001	0.000	DeadLoad
B.3.1	1.398	0.000	0.000	-0.000	-0.000	0.000	0.000	DeadLoad
B.3.1	1.677	0.000	0.000	-0.000	-0.000	0.000	0.000	DeadLoad
B.3.1	1.957	0.000	0.000	-0.000	-0.000	-0.000	0.000	DeadLoad
B.3.1	2.236	0.000	0.000	-0.000	-0.000	-0.000	0.000	DeadLoad
B.3.1	2.236	0.000	0.000	-0.000	0.000	-0.000	0.000	DeadLoad
B.3.1	2.516	0.000	0.000	-0.000	0.000	-0.001	0.000	DeadLoad
B.3.1	2.795	0.000	0.000	-0.000	0.000	-0.001	0.000	DeadLoad
B.3.1	3.075	0.000	0.000	-0.000	0.000	-0.001	0.000	DeadLoad
B.3.1	3.354	0.000	0.000	-0.000	0.000	-0.001	0.000	DeadLoad
B.3.1	3.354	0.000	0.000	-0.000	0.000	-0.001	0.000	DeadLoad
B.3.1	3.634	0.000	0.000	-0.000	0.000	-0.002	0.000	DeadLoad
B.3.1	3.913	0.000	0.000	-0.000	0.000	-0.002	0.000	DeadLoad
B.3.1	4.193	0.000	0.000	-0.000	0.000	-0.002	0.000	DeadLoad
B.3.1	4.472	0.000	0.000	-0.000	0.000	-0.002	0.000	DeadLoad
B.4.1	0.000	0.000	0.000	-0.000	0.000	0.001	0.000	DeadLoad
B.4.1	0.280	0.000	0.000	-0.000	0.000	0.001	0.000	DeadLoad
B.4.1	0.559	0.000	0.000	-0.000	0.000	0.001	0.000	DeadLoad
B.4.1	0.839	0.000	0.000	-0.000	0.000	0.001	0.000	DeadLoad
B.4.1	1.118	0.000	0.000	-0.000	0.000	0.001	0.000	DeadLoad
B.4.1	1.118	0.000	0.000	-0.000	0.000	0.001	0.000	DeadLoad
B.4.1	1.398	0.000	0.000	-0.000	0.000	0.000	0.000	DeadLoad
B.4.1	1.677	0.000	0.000	-0.000	0.000	0.000	0.000	DeadLoad
B.4.1	1.957	0.000	0.000	-0.000	0.000	-0.000	0.000	DeadLoad
B.4.1	2.236	0.000	0.000	-0.000	0.000	-0.000	0.000	DeadLoad
B.4.1	2.236	0.000	0.000	-0.000	0.000	-0.000	0.000	DeadLoad
B.4.1	2.516	0.000	0.000	-0.000	0.000	-0.001	0.000	DeadLoad
B.4.1	2.795	0.000	0.000	-0.000	0.000	-0.001	0.000	DeadLoad
B.4.1	3.075	0.000	0.000	-0.000	0.000	-0.001	0.000	DeadLoad
B.4.1	3.354	0.000	0.000	-0.000	0.000	-0.001	0.000	DeadLoad
B.4.1	3.354	0.000	0.000	-0.000	0.000	-0.001	0.000	DeadLoad
B.4.1	3.634	0.000	0.000	-0.000	0.000	-0.002	0.000	DeadLoad
B.4.1	3.913	0.000	0.000	-0.000	0.000	-0.002	0.000	DeadLoad
B.4.1	4.193	0.000	0.000	-0.000	0.000	-0.002	0.000	DeadLoad
B.4.1	4.472	0.000	0.000	-0.000	0.000	-0.002	0.000	DeadLoad
B.5.1	0.000	0.000	0.000	-0.000	0.000	0.019	0.000	DeadLoad
B.5.1	0.280	0.000	0.000	-0.000	0.000	0.019	0.000	DeadLoad
B.5.1	0.559	0.000	0.000	-0.000	0.000	0.017	0.000	DeadLoad
B.5.1	0.839	0.000	0.000	-0.000	0.000	0.016	0.000	DeadLoad
B.5.1	1.118	0.000	0.000	-0.000	0.000	0.013	0.000	DeadLoad
B.5.1	1.118	0.000	0.000	-0.000	0.000	0.013	0.000	DeadLoad
B.5.1	1.398	0.000	0.000	-0.000	0.000	0.010	0.000	DeadLoad
B.5.1	1.677	0.000	0.000	-0.000	0.000	0.007	0.000	DeadLoad
B.5.1	1.957	0.000	0.000	-0.000	0.000	0.004	0.000	DeadLoad
B.5.1	2.236	0.000	0.000	-0.000	0.000	0.001	0.000	DeadLoad
B.5.1	2.236	0.000	0.000	-0.000	0.000	0.001	0.000	DeadLoad
B.5.1	2.516	0.000	0.000	-0.000	0.000	-0.003	0.000	DeadLoad
B.5.1	2.795	0.000	0.000	-0.000	0.000	-0.006	0.000	DeadLoad
B.5.1	3.075	0.000	0.000	-0.000	0.000	-0.009	0.000	DeadLoad
B.5.1	3.354	0.000	0.000	-0.000	0.000	-0.012	0.000	DeadLoad
B.5.1	3.354	0.000	0.000	-0.000	0.000	-0.012	0.000	DeadLoad
B.5.1	3.634	0.000	0.000	-0.000	0.000	-0.014	0.000	DeadLoad
B.5.1	3.913	0.000	0.000	-0.000	0.000	-0.016	0.000	DeadLoad
B.5.1	4.193	0.000	0.000	-0.000	0.000	-0.017	0.000	DeadLoad
B.5.1	4.472	0.000	0.000	-0.000	0.000	-0.018	0.000	DeadLoad
B.6.1	0.000	-0.000	0.000	-0.000	0.000	0.019	0.000	DeadLoad
B.6.1	0.280	-0.000	0.000	-0.000	0.000	0.018	0.000	DeadLoad
B.6.1	0.559	-0.000	0.000	-0.000	0.000	0.017	0.000	DeadLoad
B.6.1	0.839	-0.000	0.000	-0.000	0.000	0.015	0.000	DeadLoad
B.6.1	1.118	-0.000	0.000	-0.000	0.000	0.013	0.000	DeadLoad
B.6.1	1.118	-0.000	0.000	-0.000	0.000	0.013	0.000	DeadLoad
B.6.1	1.398	-0.000	0.000	-0.000	0.000	0.010	0.000	DeadLoad
B.6.1	1.677	-0.000	0.000	-0.000	0.000	0.007	0.000	DeadLoad
B.6.1	1.957	-0.000	0.000	-0.000	0.000	0.004	0.000	DeadLoad
B.6.1	2.236	-0.000	0.000	-0.001	0.000	0.000	0.000	DeadLoad
B.6.1	2.236	-0.000	0.000	-0.001	0.000	0.000	0.000	DeadLoad
B.6.1	2.516	-0.000	0.000	-0.000	0.000	-0.003	0.000	DeadLoad
B.6.1	2.795	-0.000	0.000	-0.000	0.000	-0.007	0.000	DeadLoad
B.6.1	3.075	-0.000	0.000	-0.000	0.000	-0.010	0.000	DeadLoad
B.6.1	3.354	-0.000	0.000	-0.000	0.000	-0.013	0.000	DeadLoad
B.6.1	3.354	-0.000	0.000	-0.000	0.000	-0.013	0.000	DeadLoad
B.6.1	3.634	-0.000	0.000	-0.000	0.000	-0.015	0.000	DeadLoad
B.6.1	3.913	-0.000	0.000	-0.000	0.000	-0.017	0.000	DeadLoad
B.6.1	4.193	-0.000	0.000	-0.000	0.000	-0.018	0.000	DeadLoad
B.6.1	4.472	-0.000	0.000	-0.000	0.000	-0.018	0.000	DeadLoad
B.7.1	0.000	0.000	0.000	-0.000	0.000	0.018	0.000	DeadLoad
B.7.1	0.280	0.000	0.000	-0.000	0.000	0.018	0.000	DeadLoad
B.7.1	0.559	0.000	0.000	-0.000	0.000	0.017	0.000	DeadLoad
B.7.1	0.839	0.000	0.000	-0.000	0.000	0.015	0.000	DeadLoad
B.7.1	1.118	0.000	0.000	-0.000	0.000	0.013	0.000	DeadLoad
B.7.1	1.118	0.000	0.000	-0.000	0.000	0.013	0.000	DeadLoad
B.7.1	1.398	0.000	0.000	-0.000	0.000	0.010	0.000	DeadLoad
B.7.1	1.677	0.000	0.000	-0.000	0.000	0.007	0.000	DeadLoad
B.7.1	1.957	0.000	0.000	-0.000	0.000	0.003	0.000	DeadLoad
B.7.1	2.236	0.000	0.000	-0.001	0.000	-0.000	0.000	DeadLoad
B.7.1	2.236	0.000	0.000	-0.001	0.000	-0.000	0.000	DeadLoad
B.7.1	2.516	0.000	0.000	-0.000	0.000	-0.004	0.000	DeadLoad
B.7.1	2.795	0.000	0.000	-0.000	0.000	-0.007	0.000	DeadLoad
B.7.1	3.075	0.000	0.000	-0.000	0.000	-0.010	0.000	DeadLoad
B.7.1	3.354	0.000	0.000	-0.000	0.000	-0.013	0.000	DeadLoad
B.7.1	3.354	0.000	0.000	-0.000	0.000	-0.013	0.000	DeadLoad
B.7.1	3.634	0.000	0.000	-0.000	0.000	-0.015	0.000	DeadLoad
B.7.1	3.913	0.000	0.000	-0.000	0.000	-0.017	0.000	DeadLoad
B.7.1	4.193	0.000	0.000	-0.000	0.000	-0.018	0.000	DeadLoad
B.7.1	4.472	0.000	0.000	-0.000	0.000	-0.019	0.000	DeadLoad
B.8.1	0.000	-0.000	0.000	-0.000	0.000	0.018	0.000	DeadLoad
B.8.1	0.280	-0.000	0.000	-0.000	0.000	0.017	0.000	DeadLoad
B.8.1	0.559	-0.000	0.000	-0.000	0.000	0.016	0.000	DeadLoad
B.8.1	0.839	-0.000	0.000	-0.000	0.000	0.014	0.000	DeadLoad
B.8.1	1.118	-0.000	0.000	-0.000	0.000	0.012	0.000	DeadLoad
B.8.1	1.118	-0.000	0.000	-0.000	0.000	0.012	0.000	DeadLoad
B.8.1	1.398	-0.000	0.000	-0.000	0.000	0.009	0.000	DeadLoad
B.8.1	1.677	-0.000	0.000	-0.000	0.000	0.006	0.000	DeadLoad
B.8.1	1.957	-0.000	0.000	-0.000	0.000	0.003	0.000	DeadLoad
B.8.1	2.236	-0.000	0.000	-0.000	0.000	-0.001	0.000	DeadLoad
B.8.1	2.236	-0.000	0.000	-0.000	0.000	-0.001	0.000	DeadLoad
